endpoints,id_range
GCST90002099,[90002099]
GCST90002100,[90002100]
GCST90002101,[90002101]
GCST90002102,[90002102]
GCST90002103,[90002103]
GCST90002104,[90002104]
GCST90002105,[90002105]
GCST90002106,[90002106]
GCST90002107,[90002107]
GCST90002108,[90002108]
GCST90002109,[90002109]
GCST90002110,[90002110]
GCST90002111,[90002111]
GCST90002112,[90002112]
GCST90002113,[90002113]
GCST90002114,[90002114]
GCST90002115,[90002115]
GCST90002116,[90002116]
GCST90002117,[90002117]
GCST90002118,[90002118]
GCST90002119,[90002119]
GCST90002120,[90002120]
GCST90002121,[90002121]
GCST90002217,[90002217]
GCST90002218,[90002218]
GCST90002219,[90002219]
GCST90002220,[90002220]
GCST90002283,[90002283]
GCST90002284,[90002284]
GCST90002291,[90002291]
GCST90002292,[90002292]
GCST90002293,[90002293]
GCST90002294,[90002294]
GCST90002295,[90002295]
GCST90002296,[90002296]
GCST90002297,[90002297]
GCST90002298,[90002298]
GCST90002299,[90002299]
GCST90002300,[90002300]
GCST90002301,[90002301]
GCST90002302,[90002302]
GCST90002303,[90002303]
GCST90002304,[90002304]
GCST90002305,[90002305]
GCST90002306,[90002306]
GCST90002307,[90002307]
GCST90002308,[90002308]
GCST90002309,[90002309]
GCST90002310,[90002310]
GCST90002311,[90002311]
GCST90002312,[90002312]
GCST90002313,[90002313]
GCST90002314,[90002314]
GCST90002315,[90002315]
GCST90002316,[90002316]
GCST90002317,[90002317]
GCST90002318,[90002318]
GCST90002319,[90002319]
GCST90002320,[90002320]
GCST90002321,[90002321]
GCST90002322,[90002322]
GCST90002323,[90002323]
GCST90002324,[90002324]
GCST90002325,[90002325]
GCST90002326,[90002326]
GCST90002327,[90002327]
GCST90002328,[90002328]
GCST90002329,[90002329]
GCST90002330,[90002330]
GCST90002331,[90002331]
GCST90002332,[90002332]
GCST90002333,[90002333]
GCST90002334,[90002334]
GCST90002335,[90002335]
GCST90002336,[90002336]
GCST90002337,[90002337]
GCST90002338,[90002338]
GCST90002339,[90002339]
GCST90002340,[90002340]
GCST90002341,[90002341]
GCST90002342,[90002342]
GCST90002343,[90002343]
GCST90002344,[90002344]
GCST90002345,[90002345]
GCST90002346,[90002346]
GCST90002347,[90002347]
GCST90002348,[90002348]
GCST90002349,[90002349]
GCST90002350,[90002350]
GCST90002351,[90002351]
GCST90002352,[90002352]
GCST90002353,[90002353]
GCST90002354,[90002354]
GCST90002355,[90002355]
GCST90002356,[90002356]
GCST90002357,[90002357]
GCST90002358,[90002358]
GCST90002359,[90002359]
GCST90002360,[90002360]
GCST90002361,[90002361]
GCST90002362,[90002362]
GCST90002363,[90002363]
GCST90002364,[90002364]
GCST90002365,[90002365]
GCST90002366,[90002366]
GCST90002367,[90002367]
GCST90002368,[90002368]
GCST90002369,[90002369]
GCST90002370,[90002370]
GCST90002371,[90002371]
GCST90002372,[90002372]
GCST90002373,[90002373]
GCST90002374,[90002374]
GCST90002375,[90002375]
GCST90002376,[90002376]
GCST90002377,[90002377]
GCST90002378,[90002378]
GCST90002379,[90002379]
GCST90002380,[90002380]
GCST90002381,[90002381]
GCST90002382,[90002382]
GCST90002383,[90002383]
GCST90002384,[90002384]
GCST90002385,[90002385]
GCST90002386,[90002386]
GCST90002387,[90002387]
GCST90002388,[90002388]
GCST90002389,[90002389]
GCST90002390,[90002390]
GCST90002391,[90002391]
GCST90002392,[90002392]
GCST90002393,[90002393]
GCST90002394,[90002394]
